YEAR_SALEHD,MONTH_SALEHD,CURRENCY_SALEHD,YEAR_SALEIT,MONTH_SALEIT,PARTNERID_CLIENT_SO,CURRENCY_SALEITEM,PRODUCTID,PRODCATEGORYID,product_sale_per_month
0,7,0,1,10,20,0,24,5,7
0,7,0,1,10,20,0,14,3,35
0,7,0,1,10,20,0,29,6,13
0,7,0,1,10,20,0,39,8,19
0,7,0,1,10,20,0,30,6,30
0,7,0,1,10,9,0,2,0,47
0,7,0,1,10,9,0,18,4,9
0,7,0,1,10,9,0,26,5,36
0,7,0,1,10,9,0,1,0,7
0,7,0,1,10,9,0,0,0,19
0,7,0,1,10,7,0,4,0,38
0,7,0,1,10,7,0,23,5,3
0,7,0,1,10,7,0,7,1,9
0,7,0,1,10,7,0,25,5,29
0,7,0,1,10,7,0,31,6,19
0,7,0,1,10,7,0,39,8,19
0,7,0,1,10,7,0,11,2,21
0,7,0,1,10,7,0,35,7,13
0,7,0,1,10,33,0,4,0,38
0,7,0,1,10,33,0,24,5,7
0,7,0,1,10,33,0,37,7,19
0,7,0,1,10,33,0,14,3,35
0,7,0,1,10,33,0,19,4,21
0,7,0,1,10,33,0,8,1,27
0,7,0,1,10,33,0,7,1,9
0,7,0,1,10,33,0,9,2,18
0,7,0,1,10,33,0,2,0,47
0,7,0,1,10,14,0,34,7,20
0,7,0,1,10,14,0,5,0,5
0,7,0,1,10,14,0,22,5,3
0,7,0,1,10,14,0,25,5,29
0,7,0,1,10,15,0,36,7,59
0,7,0,1,10,15,0,20,4,19
0,7,0,1,10,15,0,2,0,47
0,7,0,1,10,15,0,38,7,17
0,7,0,1,10,15,0,27,5,14
0,7,0,1,10,15,0,22,5,3
0,7,0,1,10,15,0,17,4,6
0,7,0,1,10,23,0,26,5,36
0,7,0,1,10,23,0,25,5,29
0,7,0,1,10,23,0,3,0,19
0,7,0,1,10,23,0,40,8,9
0,7,0,1,10,23,0,6,1,34
0,7,0,1,10,23,0,13,3,4
0,7,0,1,10,23,0,28,6,14
0,7,0,1,10,4,0,31,6,19
0,7,0,1,10,4,0,16,4,15
0,7,0,1,10,4,0,2,0,47
0,7,0,1,11,20,0,39,8,49
0,7,0,1,11,20,0,35,7,4
0,7,0,1,11,20,0,25,5,3
0,7,0,1,11,20,0,22,5,25
0,8,0,1,10,23,0,6,1,34
0,8,0,1,10,23,0,32,7,31
0,8,0,1,10,23,0,12,3,23
0,8,0,1,10,23,0,19,4,21
0,8,0,1,10,23,0,34,7,20
0,8,0,1,10,23,0,29,6,13
0,8,0,1,10,7,0,25,5,29
0,8,0,1,10,7,0,30,6,30
0,8,0,1,10,20,0,30,6,30
0,8,0,1,10,20,0,32,7,31
0,8,0,1,10,20,0,8,1,27
0,8,0,1,10,20,0,36,7,59
0,8,0,1,10,20,0,18,4,9
0,8,0,1,10,20,0,4,0,38
0,8,0,1,10,20,0,9,2,18
0,8,0,1,10,20,0,3,0,19
0,8,0,1,10,36,0,21,4,41
0,8,0,1,10,36,0,29,6,13
0,8,0,1,10,36,0,36,7,59
0,8,0,1,10,36,0,7,1,9
0,8,0,1,10,36,0,15,4,27
0,8,0,1,10,36,0,34,7,20
0,8,0,1,10,36,0,13,3,4
0,8,0,1,10,4,0,4,0,38
0,8,0,1,10,4,0,32,7,31
0,8,0,1,10,4,0,31,6,19
0,8,0,1,10,4,0,19,4,21
0,8,0,1,10,4,0,21,4,41
0,8,0,1,10,4,0,28,6,14
0,8,0,1,10,4,0,14,3,35
0,8,0,1,10,4,0,2,0,47
0,8,0,1,10,18,0,15,4,27
0,8,0,1,10,18,0,16,4,15
0,8,0,1,10,18,0,6,1,34
0,8,0,1,10,18,0,30,6,30
0,8,0,1,10,18,0,10,2,8
0,8,0,1,10,18,0,20,4,19
0,8,0,1,11,23,0,26,5,20
0,8,0,1,11,23,0,39,8,49
0,8,0,1,11,23,0,36,7,11
0,8,0,1,11,23,0,4,0,19
0,8,0,1,11,23,0,8,1,20
0,8,0,1,11,23,0,13,3,19
0,8,0,1,11,23,0,30,6,24
0,8,0,1,10,39,0,41,8,28
0,8,0,1,10,39,0,14,3,35
0,8,0,1,11,14,0,11,2,49
0,8,0,1,11,14,0,26,5,20
0,8,0,1,11,14,0,2,0,18
0,8,0,1,11,14,0,29,6,4
0,8,0,1,11,14,0,39,8,49
0,8,0,1,11,14,0,28,6,12
0,8,0,1,11,14,0,7,1,6
0,8,0,1,11,14,0,15,4,9
0,8,0,1,11,14,0,36,7,11
0,8,0,1,11,16,0,11,2,49
0,8,0,1,11,16,0,16,4,21
0,8,0,1,11,16,0,31,6,18
0,8,0,1,11,16,0,23,5,8
0,8,0,1,11,16,0,22,5,25
0,8,0,1,11,16,0,9,2,10
0,8,0,1,11,16,0,12,3,3
0,8,0,1,11,16,0,19,4,15
0,8,0,1,11,16,0,0,0,21
0,8,0,1,11,16,0,7,1,6
0,8,0,1,10,37,0,0,0,19
0,8,0,1,10,37,0,38,7,17
0,8,0,1,10,37,0,2,0,47
0,8,0,1,10,37,0,12,3,23
0,8,0,1,10,37,0,21,4,41
0,8,0,1,10,37,0,3,0,19
0,8,0,1,10,37,0,31,6,19
0,8,0,1,10,37,0,41,8,28
0,8,0,1,10,37,0,11,2,21
0,8,0,1,10,37,0,36,7,59
0,8,0,1,11,35,0,5,0,15
0,8,0,1,11,35,0,3,0,10
0,8,0,1,11,35,0,18,4,34
0,8,0,1,11,35,0,33,7,27
0,8,0,1,11,39,0,37,7,51
0,8,0,1,11,39,0,6,1,2
0,8,0,1,11,39,0,18,4,34
0,8,0,1,11,39,0,19,4,15
0,8,0,1,11,39,0,11,2,49
0,8,0,1,11,39,0,20,4,8
0,8,0,1,11,39,0,9,2,10
0,8,0,1,11,3,0,16,4,21
0,8,0,1,11,3,0,22,5,25
0,8,0,1,11,3,0,13,3,19
0,8,0,1,11,3,0,0,0,21
0,8,0,1,11,3,0,33,7,27
0,8,0,1,11,3,0,30,6,24
0,8,0,1,11,3,0,24,5,20
0,8,0,1,11,3,0,39,8,49
0,8,0,1,11,3,0,2,0,18
0,8,0,1,11,11,0,30,6,24
0,8,0,1,11,11,0,36,7,11
0,8,0,1,11,11,0,11,2,49
0,8,0,1,11,11,0,38,7,17
0,8,0,1,11,11,0,0,0,21
0,8,0,1,11,11,0,21,4,20
0,8,0,1,11,28,0,6,1,2
0,8,0,1,11,28,0,14,3,28
0,8,0,1,11,28,0,18,4,34
0,8,0,1,11,28,0,39,8,49
0,8,0,1,11,39,0,27,5,4
0,8,0,1,11,39,0,28,6,12
0,8,0,1,11,2,0,35,7,4
0,8,0,1,11,2,0,37,7,51
0,8,0,1,11,2,0,2,0,18
0,8,0,1,11,25,0,31,6,18
0,8,0,1,11,25,0,17,4,2
0,8,0,1,11,25,0,5,0,15
0,8,0,1,11,25,0,24,5,20
0,8,0,1,11,25,0,19,4,15
0,8,0,1,11,25,0,14,3,28
0,8,0,0,0,4,0,36,7,27
0,8,0,0,0,4,0,16,4,8
0,8,0,0,0,4,0,11,2,14
0,8,0,0,0,4,0,1,0,1
0,8,0,1,12,5,0,28,6,17
0,8,0,1,12,5,0,18,4,57
0,8,0,1,12,5,0,36,7,45
0,8,0,1,12,5,0,4,0,34
0,8,0,1,12,5,0,33,7,17
0,8,0,1,12,5,0,24,5,16
0,8,0,1,12,5,0,6,1,39
0,8,0,1,12,5,0,17,4,6
0,8,0,1,12,5,0,30,6,23
0,9,0,1,12,9,0,9,2,15
0,9,0,1,12,9,0,1,0,14
0,9,0,1,12,9,0,12,3,17
0,9,0,1,12,9,0,35,7,16
0,9,0,1,12,9,0,18,4,57
0,9,0,1,12,9,0,24,5,16
0,9,0,1,11,3,0,31,6,18
0,9,0,1,11,3,0,14,3,28
0,9,0,1,12,25,0,26,5,9
0,9,0,1,12,25,0,21,4,10
0,9,0,1,12,25,0,18,4,57
0,9,0,1,12,25,0,27,5,8
0,9,0,1,12,25,0,2,0,54
0,9,0,1,12,25,0,10,2,7
0,9,0,1,12,2,0,0,0,16
0,9,0,1,11,9,0,24,5,20
0,9,0,1,11,9,0,0,0,21
0,9,0,1,11,9,0,18,4,34
0,9,0,1,11,21,0,33,7,27
0,9,0,1,11,21,0,0,0,21
0,9,0,1,11,21,0,3,0,10
0,9,0,1,11,21,0,8,1,20
0,9,0,1,11,21,0,26,5,20
0,9,0,1,11,21,0,22,5,25
0,9,0,1,11,21,0,21,4,20
0,9,0,1,11,21,0,2,0,18
0,9,0,1,11,21,0,38,7,17
0,9,0,1,11,21,0,4,0,19
0,9,0,1,12,17,0,13,3,31
0,9,0,1,12,17,0,0,0,16
0,9,0,1,12,17,0,18,4,57
0,9,0,1,12,17,0,36,7,45
0,9,0,1,12,17,0,38,7,15
0,9,0,1,12,17,0,4,0,34
0,9,0,1,12,17,0,26,5,9
0,9,0,1,12,17,0,22,5,16
0,9,0,1,12,17,0,2,0,54
0,9,0,1,12,23,0,34,7,0
0,9,0,1,12,23,0,36,7,45
0,9,0,1,12,23,0,16,4,8
0,9,0,1,12,23,0,5,0,19
0,9,0,1,12,23,0,15,4,32
0,9,0,1,12,23,0,28,6,17
0,9,0,1,11,25,0,23,5,8
0,9,0,1,11,25,0,41,8,4
0,9,0,1,11,25,0,8,1,20
0,9,0,1,11,25,0,33,7,27
0,9,0,1,11,25,0,40,8,2
0,9,0,1,11,25,0,7,1,6
0,9,0,1,11,25,0,11,2,49
0,9,0,1,11,25,0,21,4,20
0,9,0,1,12,17,0,33,7,17
0,9,0,1,12,17,0,21,4,10
0,9,0,1,12,17,0,20,4,29
0,9,0,1,11,33,0,15,4,9
0,9,0,1,11,33,0,37,7,51
0,9,0,1,11,33,0,8,1,20
0,9,0,1,11,33,0,5,0,15
0,9,0,1,11,33,0,38,7,17
0,9,0,1,11,33,0,3,0,10
0,9,0,1,11,33,0,20,4,8
0,9,0,1,11,14,0,32,7,4
0,9,0,1,11,14,0,22,5,25
0,9,0,1,11,14,0,14,3,28
0,9,0,1,11,14,0,26,5,20
0,9,0,1,11,14,0,18,4,34
0,9,0,1,12,2,0,31,6,16
0,9,0,1,12,2,0,20,4,29
0,9,0,1,12,2,0,18,4,57
0,9,0,1,12,2,0,35,7,16
0,9,0,1,12,2,0,30,6,23
0,9,0,1,12,2,0,5,0,19
0,9,0,1,12,2,0,28,6,17
0,9,0,1,12,8,0,29,6,14
0,9,0,1,12,38,0,20,4,29
0,9,0,1,12,38,0,13,3,31
0,9,0,1,12,38,0,2,0,54
0,9,0,1,12,38,0,41,8,10
0,9,0,1,12,38,0,25,5,17
0,9,0,1,12,38,0,30,6,23
0,9,0,1,12,38,0,6,1,39
0,9,0,1,11,30,0,1,0,1
0,9,0,1,11,30,0,13,3,19
0,9,0,1,11,30,0,14,3,28
0,9,0,1,11,30,0,10,2,6
0,9,0,1,12,5,0,4,0,34
0,9,0,1,12,5,0,23,5,8
0,9,0,1,12,5,0,2,0,54
0,9,0,1,12,5,0,36,7,45
0,9,0,1,12,5,0,37,7,39
0,9,0,1,12,5,0,1,0,14
0,9,0,1,12,5,0,13,3,31
0,9,0,1,12,5,0,8,1,29
0,9,0,1,12,5,0,11,2,30
0,9,0,1,12,21,0,25,5,17
0,9,0,1,12,21,0,24,5,16
0,9,0,1,12,21,0,18,4,57
0,9,0,1,12,21,0,8,1,29
0,9,0,1,12,21,0,2,0,54
0,9,0,1,12,21,0,29,6,14
0,9,0,1,12,38,0,33,7,17
0,9,0,1,12,38,0,29,6,14
0,9,0,1,12,38,0,11,2,30
0,9,0,1,12,38,0,16,4,8
0,9,0,1,12,15,0,15,4,32
0,9,0,1,12,15,0,6,1,39
0,9,0,1,12,15,0,36,7,45
0,9,0,1,12,15,0,2,0,54
0,9,0,1,12,15,0,19,4,0
0,9,0,1,12,15,0,30,6,23
0,9,0,1,12,0,0,8,1,29
0,9,0,1,12,0,0,32,7,6
0,9,0,1,12,0,0,11,2,30
0,9,0,1,12,0,0,31,6,16
0,10,0,2,1,8,0,41,8,49
0,10,0,2,1,8,0,39,8,22
0,10,0,1,12,31,0,26,5,9
0,10,0,1,12,31,0,5,0,19
0,10,0,1,12,31,0,2,0,54
0,10,0,1,12,36,0,4,0,34
0,10,0,1,12,36,0,29,6,14
0,10,0,1,12,2,0,0,0,16
0,10,0,1,12,2,0,3,0,10
0,10,0,1,12,14,0,4,0,34
0,10,0,1,12,14,0,41,8,10
0,10,0,1,12,14,0,7,1,8
0,10,0,1,12,14,0,15,4,32
0,10,0,1,12,14,0,5,0,19
0,10,0,1,12,14,0,22,5,16
0,10,0,1,12,14,0,0,0,16
0,10,0,2,1,32,0,9,2,29
0,10,0,2,1,32,0,21,4,39
0,10,0,2,1,32,0,33,7,39
0,10,0,2,1,32,0,30,6,30
0,10,0,2,1,32,0,24,5,8
0,10,0,2,1,39,0,35,7,14
0,10,0,2,1,39,0,18,4,16
0,10,0,2,1,39,0,36,7,59
0,10,0,2,1,39,0,26,5,25
0,10,0,2,1,39,0,14,3,23
0,10,0,2,1,39,0,8,1,35
0,10,0,2,1,39,0,3,0,26
0,10,0,2,1,39,0,37,7,21
0,10,0,2,1,19,0,27,5,23
0,10,0,1,12,17,0,20,4,29
0,10,0,1,12,17,0,15,4,32
0,10,0,1,12,17,0,21,4,10
0,10,0,1,12,17,0,13,3,31
0,10,0,1,12,17,0,40,8,3
0,10,0,1,12,17,0,31,6,16
0,10,0,1,12,20,0,8,1,29
0,10,0,1,12,20,0,38,7,15
0,10,0,1,12,20,0,2,0,54
0,10,0,1,12,20,0,14,3,10
0,10,0,1,12,20,0,37,7,39
0,10,0,1,12,20,0,1,0,14
0,10,0,1,12,20,0,39,8,9
0,10,0,1,12,20,0,11,2,30
0,10,0,2,1,37,0,12,3,19
0,10,0,1,12,28,0,6,1,39
0,10,0,1,12,28,0,37,7,39
0,10,0,1,12,28,0,18,4,57
0,10,0,1,12,28,0,23,5,8
0,10,0,1,12,28,0,3,0,10
0,10,0,1,12,28,0,4,0,34
0,10,0,1,12,28,0,9,2,15
0,10,0,1,12,16,0,9,2,15
0,10,0,2,1,0,0,1,0,19
0,10,0,2,1,0,0,22,5,25
0,10,0,2,1,0,0,30,6,30
0,10,0,2,1,35,0,35,7,14
0,10,0,2,1,35,0,14,3,23
0,10,0,2,1,35,0,8,1,35
0,10,0,2,1,35,0,4,0,32
0,10,0,2,1,8,0,13,3,14
0,10,0,2,1,8,0,29,6,19
0,10,0,2,1,8,0,36,7,59
0,10,0,2,1,8,0,34,7,7
0,10,0,2,1,8,0,16,4,31
0,10,0,2,1,8,0,40,8,32
0,10,0,2,1,8,0,0,0,44
0,10,0,2,1,8,0,22,5,25
0,10,0,2,1,8,0,2,0,20
0,10,0,2,1,39,0,4,0,32
0,10,0,2,1,39,0,6,1,4
0,10,0,2,1,39,0,17,4,23
0,10,0,2,1,39,0,29,6,19
0,10,0,2,1,39,0,27,5,23
0,10,0,1,12,21,0,12,3,17
0,10,0,1,12,21,0,14,3,10
0,10,0,1,12,21,0,6,1,39
0,10,0,1,12,21,0,37,7,39
0,10,0,1,12,21,0,25,5,17
0,10,0,2,1,13,0,38,7,25
0,10,0,2,1,13,0,26,5,25
0,10,0,2,1,13,0,21,4,39
0,10,0,2,1,13,0,15,4,12
0,10,0,2,1,13,0,12,3,19
0,10,0,2,1,10,0,33,7,39
0,10,0,2,1,10,0,40,8,32
0,10,0,2,1,10,0,21,4,39
0,10,0,2,1,10,0,25,5,14
0,10,0,2,1,30,0,9,2,29
0,10,0,2,1,30,0,32,7,21
0,10,0,2,1,30,0,16,4,31
0,10,0,2,1,30,0,25,5,14
0,10,0,2,1,30,0,3,0,26
0,10,0,2,1,30,0,17,4,23
0,10,0,2,1,30,0,27,5,23
0,10,0,2,1,38,0,15,4,12
0,10,0,2,1,38,0,0,0,44
0,10,0,2,1,38,0,12,3,19
0,10,0,2,1,38,0,23,5,19
0,10,0,2,1,38,0,21,4,39
0,10,0,2,1,38,0,26,5,25
0,10,0,2,1,20,0,41,8,49
0,10,0,2,1,20,0,20,4,46
0,10,0,2,1,20,0,14,3,23
0,10,0,2,1,20,0,0,0,44
0,10,0,2,1,20,0,23,5,19
0,10,0,2,1,20,0,39,8,22
0,10,0,2,1,20,0,32,7,21
0,10,0,2,1,34,0,19,4,9
0,10,0,2,1,34,0,4,0,32
0,10,0,2,1,34,0,21,4,39
0,10,0,2,1,34,0,8,1,35
0,10,0,2,1,34,0,5,0,25
0,10,0,2,1,34,0,36,7,59
0,10,0,2,1,23,0,39,8,22
0,10,0,2,1,23,0,0,0,44
0,10,0,2,1,23,0,5,0,25
0,10,0,2,1,23,0,23,5,19
0,10,0,2,1,23,0,16,4,31
0,10,0,2,1,23,0,29,6,19
0,10,0,2,1,23,0,7,1,4
0,10,0,2,1,23,0,40,8,32
0,11,0,2,1,13,0,27,5,23
0,11,0,2,1,13,0,16,4,31
0,11,0,2,1,13,0,33,7,39
0,11,0,2,1,13,0,35,7,14
0,11,0,2,2,4,0,11,2,27
0,11,0,2,2,4,0,38,7,10
0,11,0,2,2,4,0,25,5,39
0,11,0,2,2,4,0,8,1,6
0,11,0,2,2,4,0,31,6,11
0,11,0,2,2,11,0,18,4,30
0,11,0,2,2,11,0,28,6,9
0,11,0,2,2,11,0,9,2,16
0,11,0,2,2,11,0,14,3,10
0,11,0,2,2,11,0,10,2,14
0,11,0,2,2,11,0,12,3,3
0,11,0,2,1,36,0,30,6,30
0,11,0,2,1,36,0,40,8,32
0,11,0,2,1,36,0,8,1,35
0,11,0,2,1,36,0,2,0,20
0,11,0,2,1,36,0,25,5,14
0,11,0,2,1,36,0,29,6,19
0,11,0,2,1,36,0,20,4,46
0,11,0,2,1,36,0,22,5,25
0,11,0,2,1,36,0,18,4,16
0,11,0,2,1,36,0,31,6,3
0,11,0,2,1,33,0,21,4,39
0,11,0,2,1,33,0,30,6,30
0,11,0,2,1,33,0,13,3,14
0,11,0,2,1,33,0,5,0,25
0,11,0,2,1,33,0,40,8,32
0,11,0,2,1,33,0,22,5,25
0,11,0,2,1,33,0,2,0,20
0,11,0,2,1,33,0,37,7,21
0,11,0,2,1,19,0,28,6,20
0,11,0,2,1,19,0,26,5,25
0,11,0,2,1,19,0,19,4,9
0,11,0,2,1,19,0,20,4,46
0,11,0,2,1,22,0,28,6,20
0,11,0,2,1,22,0,38,7,25
0,11,0,2,1,22,0,18,4,16
0,11,0,2,1,22,0,32,7,21
0,11,0,2,1,22,0,11,2,10
0,11,0,2,1,22,0,14,3,23
0,11,0,2,1,1,0,4,0,32
0,11,0,2,1,1,0,12,3,19
0,11,0,2,1,2,0,0,0,44
0,11,0,2,1,29,0,14,3,23
0,11,0,2,1,29,0,17,4,23
0,11,0,2,1,29,0,38,7,25
0,11,0,2,1,29,0,41,8,49
0,11,0,2,1,29,0,11,2,10
0,11,0,2,1,29,0,1,0,19
0,11,0,2,1,29,0,28,6,20
0,11,0,2,1,29,0,9,2,29
0,11,0,2,1,29,0,24,5,8
0,11,0,2,1,17,0,20,4,46
0,11,0,2,1,17,0,41,8,49
0,11,0,2,1,17,0,2,0,20
0,11,0,2,1,17,0,28,6,20
0,11,0,2,1,17,0,1,0,19
0,11,0,2,1,17,0,32,7,21
0,11,0,2,1,17,0,33,7,39
0,11,0,2,1,17,0,11,2,10
0,11,0,2,1,23,0,41,8,49
0,11,0,2,1,23,0,35,7,14
0,11,0,2,1,23,0,24,5,8
0,11,0,2,1,23,0,40,8,32
0,11,0,2,1,28,0,0,0,44
0,11,0,2,1,28,0,22,5,25
0,11,0,2,1,28,0,33,7,39
0,11,0,2,1,28,0,3,0,26
0,11,0,2,1,28,0,41,8,49
0,11,0,2,1,6,0,40,8,32
0,11,0,2,1,6,0,36,7,59
0,11,0,2,1,6,0,8,1,35
0,11,0,2,1,6,0,41,8,49
0,11,0,2,1,6,0,5,0,25
0,11,0,2,1,6,0,9,2,29
0,11,0,2,1,6,0,3,0,26
0,11,0,2,1,6,0,18,4,16
0,11,0,2,1,6,0,30,6,30
0,11,0,2,2,36,0,16,4,9
0,11,0,2,2,36,0,24,5,21
0,11,0,2,2,36,0,2,0,13
0,11,0,2,1,24,0,10,2,13
0,11,0,2,2,25,0,25,5,39
0,11,0,2,2,25,0,36,7,33
0,11,0,2,2,25,0,33,7,14
0,11,0,2,2,25,0,14,3,10
0,11,0,2,2,25,0,16,4,9
0,11,0,2,2,17,0,4,0,9
0,11,0,2,2,17,0,25,5,39
0,11,0,2,1,17,0,9,2,29
0,11,0,2,1,17,0,0,0,44
0,11,0,2,1,17,0,26,5,25
0,11,0,2,1,17,0,10,2,13
0,11,0,2,2,8,0,25,5,39
0,11,0,2,2,8,0,22,5,18
0,11,0,2,2,8,0,29,6,12
0,11,0,2,2,8,0,1,0,9
0,11,0,2,2,8,0,27,5,9
0,11,0,2,2,8,0,36,7,33
0,11,0,2,2,8,0,11,2,27
0,11,0,2,2,8,0,23,5,9
1,0,0,2,2,37,0,24,5,21
1,0,0,2,2,37,0,29,6,12
1,0,0,2,2,37,0,2,0,13
1,0,0,2,2,37,0,19,4,1
1,0,0,2,2,37,0,40,8,12
1,0,0,2,2,37,0,8,1,6
1,0,0,2,2,37,0,25,5,39
1,0,0,2,2,37,0,22,5,18
1,0,0,2,2,37,0,11,2,27
1,0,0,2,2,19,0,6,1,15
1,0,0,2,2,19,0,40,8,12
1,0,0,2,2,19,0,26,5,3
1,0,0,2,2,19,0,18,4,30
1,0,0,2,2,32,0,20,4,4
1,0,0,2,2,32,0,6,1,15
1,0,0,2,2,32,0,8,1,6
1,0,0,2,2,32,0,11,2,27
1,0,0,2,2,32,0,25,5,39
1,0,0,2,2,32,0,28,6,9
1,0,0,2,2,32,0,35,7,29
1,0,0,2,2,32,0,33,7,14
1,0,0,2,2,37,0,9,2,16
1,0,0,2,2,37,0,4,0,9
1,0,0,2,2,37,0,0,0,8
1,0,0,2,2,37,0,21,4,23
1,0,0,2,2,37,0,28,6,9
1,0,0,2,2,37,0,15,4,17
1,0,0,2,2,37,0,13,3,23
1,0,0,2,3,31,0,12,3,55
1,0,0,2,3,31,0,10,2,42
1,0,0,2,3,31,0,19,4,51
1,0,0,2,3,31,0,34,7,28
1,0,0,2,3,31,0,41,8,30
1,0,0,2,3,31,0,39,8,30
1,0,0,2,3,31,0,20,4,32
1,0,0,2,3,31,0,2,0,62
1,0,0,2,2,35,0,1,0,9
1,0,0,2,2,35,0,36,7,33
1,0,0,2,2,35,0,38,7,10
1,0,0,2,2,35,0,24,5,21
1,0,0,2,2,35,0,16,4,9
1,0,0,2,3,1,0,13,3,21
1,0,0,2,3,1,0,1,0,16
1,0,0,2,3,1,0,30,6,41
1,0,0,2,3,1,0,25,5,26
1,0,0,2,3,1,0,8,1,45
1,0,0,2,3,1,0,41,8,30
1,0,0,2,3,1,0,40,8,40
1,0,0,2,3,1,0,35,7,46
1,0,0,2,3,1,0,2,0,62
1,0,0,2,3,37,0,2,0,62
1,0,0,2,3,37,0,12,3,55
1,0,0,2,3,37,0,22,5,23
1,0,0,2,3,37,0,20,4,32
1,0,0,2,3,37,0,5,0,19
1,0,0,2,3,37,0,7,1,51
1,0,0,2,3,37,0,38,7,18
1,0,0,2,3,37,0,13,3,21
1,0,0,2,2,25,0,13,3,23
1,0,0,2,2,25,0,18,4,30
1,0,0,2,2,25,0,4,0,9
1,0,0,2,3,27,0,28,6,23
1,0,0,2,3,27,0,30,6,41
1,0,0,2,3,27,0,25,5,26
1,0,0,2,3,27,0,40,8,40
1,0,0,2,3,27,0,32,7,29
1,0,0,2,3,27,0,15,4,30
1,0,0,2,3,27,0,33,7,40
1,0,0,2,3,27,0,14,3,26
1,0,0,2,2,37,0,36,7,33
1,0,0,2,2,37,0,17,4,2
1,0,0,2,2,37,0,18,4,30
1,0,0,2,2,37,0,35,7,29
1,0,0,2,2,31,0,39,8,8
1,0,0,2,2,31,0,35,7,29
1,0,0,2,2,31,0,1,0,9
1,0,0,2,2,31,0,22,5,18
1,0,0,2,2,31,0,25,5,39
1,0,0,2,2,31,0,3,0,6
1,0,0,2,3,30,0,21,4,25
1,0,0,2,3,30,0,34,7,28
1,0,0,2,3,30,0,2,0,62
1,0,0,2,3,30,0,10,2,42
1,0,0,2,3,30,0,5,0,19
1,0,0,2,3,30,0,14,3,26
1,0,0,2,3,30,0,26,5,17
1,0,0,2,3,30,0,11,2,54
1,0,0,2,3,29,0,10,2,42
1,0,0,2,3,29,0,35,7,46
1,0,0,2,3,23,0,11,2,54
1,0,0,2,3,23,0,10,2,42
1,0,0,2,3,33,0,30,6,41
1,0,0,2,3,33,0,15,4,30
1,0,0,2,3,6,0,40,8,40
1,0,0,2,3,6,0,19,4,51
1,1,0,2,3,23,0,9,2,21
1,1,0,2,3,23,0,23,5,15
1,1,0,2,3,23,0,40,8,40
1,1,0,2,3,23,0,2,0,62
1,1,0,2,3,23,0,24,5,28
1,1,0,2,3,23,0,22,5,23
1,1,0,2,3,23,0,21,4,25
1,1,0,2,3,23,0,37,7,33
1,1,0,2,3,23,0,4,0,30
1,1,0,2,3,39,0,34,7,28
1,1,0,2,3,39,0,20,4,32
1,1,0,2,3,39,0,33,7,40
1,1,0,2,3,39,0,6,1,36
1,1,0,2,3,39,0,15,4,30
1,1,0,2,3,24,0,31,6,27
1,1,0,2,3,24,0,18,4,20
1,1,0,2,3,6,0,23,5,15
1,1,0,2,3,6,0,26,5,17
1,1,0,2,3,6,0,2,0,62
1,1,0,2,3,6,0,7,1,51
1,1,0,2,3,6,0,11,2,54
1,1,0,2,3,6,0,9,2,21
1,1,0,2,3,6,0,34,7,28
1,1,0,2,3,6,0,1,0,16
1,1,0,2,3,6,0,15,4,30
1,1,0,2,3,10,0,7,1,51
1,1,0,2,3,10,0,10,2,42
1,1,0,2,3,10,0,0,0,17
1,1,0,2,3,10,0,6,1,36
1,1,0,2,3,10,0,25,5,26
1,1,0,2,3,11,0,1,0,16
1,1,0,2,3,36,0,32,7,29
1,1,0,2,3,36,0,30,6,41
1,1,0,2,3,36,0,33,7,40
1,1,0,2,3,36,0,20,4,32
1,1,0,2,3,36,0,11,2,54
1,1,0,2,3,36,0,14,3,26
1,1,0,2,4,13,0,34,7,43
1,1,0,2,4,13,0,20,4,47
1,1,0,2,4,13,0,18,4,45
1,1,0,2,4,13,0,29,6,34
1,1,0,2,4,13,0,31,6,48
1,1,0,2,4,13,0,30,6,48
1,1,0,2,3,35,0,39,8,30
1,1,0,2,3,35,0,3,0,23
1,1,0,2,3,35,0,4,0,30
1,1,0,2,3,9,0,7,1,51
1,1,0,2,3,9,0,3,0,23
1,1,0,2,3,9,0,11,2,54
1,1,0,2,3,9,0,27,5,21
1,1,0,2,4,35,0,22,5,25
1,1,0,2,4,35,0,32,7,0
1,1,0,2,4,35,0,14,3,45
1,1,0,2,4,35,0,35,7,40
1,1,0,2,4,35,0,2,0,60
1,1,0,2,4,35,0,12,3,34
1,1,0,2,4,35,0,30,6,48
1,1,0,2,4,35,0,41,8,29
1,1,0,2,4,25,0,31,6,48
1,1,0,2,4,25,0,3,0,17
1,1,0,2,4,25,0,8,1,58
1,1,0,2,4,25,0,33,7,42
1,1,0,2,4,25,0,37,7,61
1,1,0,2,4,25,0,30,6,48
1,1,0,2,4,25,0,0,0,23
1,1,0,2,4,25,0,18,4,45
1,1,0,2,4,25,0,19,4,13
1,1,0,2,4,19,0,33,7,42
1,1,0,2,4,19,0,26,5,25
1,1,0,2,4,19,0,23,5,20
1,1,0,2,4,19,0,38,7,33
1,1,0,2,4,19,0,19,4,13
1,1,0,2,4,19,0,27,5,39
1,1,0,2,4,19,0,16,4,44
1,1,0,2,4,19,0,34,7,43
1,1,0,2,4,19,0,35,7,40
1,1,0,2,4,19,0,24,5,37
1,1,0,2,4,13,0,38,7,33
